model,signal,strategy,year,tax
risk_parity,none,calendar,2010,0.00326984726300553
risk_parity,none,calendar,2011,0.008719903976371872
risk_parity,none,calendar,2012,0.015430880476120182
risk_parity,none,calendar,2013,0.01086229797872592
risk_parity,none,calendar,2014,0.013176725420783261
risk_parity,none,calendar,2015,0.012376923359952404
risk_parity,none,calendar,2016,0.009785000614658097
risk_parity,none,calendar,2017,0.008097999074188723
risk_parity,none,calendar,2018,0.014795044633043292
risk_parity,none,calendar,2019,0.024202454513331622
risk_parity,none,calendar,2020,0.020330448013105556
risk_parity,none,calendar,2021,0.01421187754876461
risk_parity,none,calendar,2022,0.005269860699111366
risk_parity,none,calendar,2023,0.0007128298850627262
risk_parity,none,calendar,2024,0.01224168037105402
risk_parity,none,threshold,2010,0.0
risk_parity,none,threshold,2011,0.0
risk_parity,none,threshold,2012,0.007660831113145929
risk_parity,none,threshold,2013,0.0
risk_parity,none,threshold,2014,0.006942938225266296
risk_parity,none,threshold,2015,0.008536827179684356
risk_parity,none,threshold,2016,0.0
risk_parity,none,threshold,2017,0.0
risk_parity,none,threshold,2018,0.0
risk_parity,none,threshold,2019,0.02058141259336338
risk_parity,none,threshold,2020,0.03315453046353244
risk_parity,none,threshold,2021,0.0
risk_parity,none,threshold,2022,0.0
risk_parity,none,threshold,2023,0.004228650546381914
risk_parity,none,threshold,2024,0.0
markowitz,historical_mean,calendar,2010,0.0035470718977151277
markowitz,historical_mean,calendar,2011,0.02271796322421055
markowitz,historical_mean,calendar,2012,0.02440713009604758
markowitz,historical_mean,calendar,2013,0.00724210522622106
markowitz,historical_mean,calendar,2014,0.02104339412146445
markowitz,historical_mean,calendar,2015,0.009003141106033752
markowitz,historical_mean,calendar,2016,0.020423884671560616
markowitz,historical_mean,calendar,2017,0.01877120825317456
markowitz,historical_mean,calendar,2018,0.0
markowitz,historical_mean,calendar,2019,0.0031204160175464122
markowitz,historical_mean,calendar,2020,0.02774924555176335
markowitz,historical_mean,calendar,2021,0.017127273454415348
markowitz,historical_mean,calendar,2022,0.0
markowitz,historical_mean,calendar,2023,0.0
markowitz,historical_mean,calendar,2024,0.0097003018488466
markowitz,historical_mean,threshold,2010,0.002300848833085373
markowitz,historical_mean,threshold,2011,0.023072927324208094
markowitz,historical_mean,threshold,2012,0.02634881343074468
markowitz,historical_mean,threshold,2013,0.0030461423431054286
markowitz,historical_mean,threshold,2014,0.01858852098611513
markowitz,historical_mean,threshold,2015,0.010844954245374605
markowitz,historical_mean,threshold,2016,0.022348717871411204
markowitz,historical_mean,threshold,2017,0.020183314816354825
markowitz,historical_mean,threshold,2018,0.0
markowitz,historical_mean,threshold,2019,0.004394883625842473
markowitz,historical_mean,threshold,2020,0.0233058200287596
markowitz,historical_mean,threshold,2021,0.02015108056697213
markowitz,historical_mean,threshold,2022,0.0
markowitz,historical_mean,threshold,2023,0.0
markowitz,historical_mean,threshold,2024,0.0
mean_cvar,historical_mean,calendar,2010,0.003011061851008302
mean_cvar,historical_mean,calendar,2011,0.020660318695310636
mean_cvar,historical_mean,calendar,2012,0.026970362331254168
mean_cvar,historical_mean,calendar,2013,0.006572985548811227
mean_cvar,historical_mean,calendar,2014,0.017699448477882754
mean_cvar,historical_mean,calendar,2015,0.011504341766326788
mean_cvar,historical_mean,calendar,2016,0.012279704187845353
mean_cvar,historical_mean,calendar,2017,0.011094682174779321
mean_cvar,historical_mean,calendar,2018,0.0
mean_cvar,historical_mean,calendar,2019,0.018818317556709818
mean_cvar,historical_mean,calendar,2020,0.02745898556843248
mean_cvar,historical_mean,calendar,2021,0.015750986573682093
mean_cvar,historical_mean,calendar,2022,0.0
mean_cvar,historical_mean,calendar,2023,0.0
mean_cvar,historical_mean,calendar,2024,0.016544381981658376
mean_cvar,historical_mean,threshold,2010,0.0030898130161615914
mean_cvar,historical_mean,threshold,2011,0.017039678851540466
mean_cvar,historical_mean,threshold,2012,0.032002045914191465
mean_cvar,historical_mean,threshold,2013,0.005948583733556926
mean_cvar,historical_mean,threshold,2014,0.01420705550718386
mean_cvar,historical_mean,threshold,2015,0.014581483570327618
mean_cvar,historical_mean,threshold,2016,0.01294242476500845
mean_cvar,historical_mean,threshold,2017,0.010934811910112831
mean_cvar,historical_mean,threshold,2018,0.0
mean_cvar,historical_mean,threshold,2019,0.017684991299514282
mean_cvar,historical_mean,threshold,2020,0.025871360149494566
mean_cvar,historical_mean,threshold,2021,0.015033565932328187
mean_cvar,historical_mean,threshold,2022,0.0
mean_cvar,historical_mean,threshold,2023,0.0
mean_cvar,historical_mean,threshold,2024,0.014098992609643118
markowitz,capm,calendar,2010,0.002572261218027676
markowitz,capm,calendar,2011,0.0161607666730157
markowitz,capm,calendar,2012,0.002243421404007152
markowitz,capm,calendar,2013,0.009059209646158214
markowitz,capm,calendar,2014,0.01686322353460501
markowitz,capm,calendar,2015,0.014188176367228295
markowitz,capm,calendar,2016,0.018471108395117387
markowitz,capm,calendar,2017,0.014544340661733214
markowitz,capm,calendar,2018,0.025181761074227208
markowitz,capm,calendar,2019,0.029615014052577278
markowitz,capm,calendar,2020,0.03915774686205926
markowitz,capm,calendar,2021,0.015355892972648083
markowitz,capm,calendar,2022,0.0
markowitz,capm,calendar,2023,0.012838596043921093
markowitz,capm,calendar,2024,0.05532671198113906
markowitz,capm,threshold,2010,0.00013031388349817792
markowitz,capm,threshold,2011,0.018379100542532566
markowitz,capm,threshold,2012,0.0
markowitz,capm,threshold,2013,0.0015979065674933872
markowitz,capm,threshold,2014,0.00862149379147528
markowitz,capm,threshold,2015,0.006537198583258344
markowitz,capm,threshold,2016,0.01625336653245036
markowitz,capm,threshold,2017,0.009185736713914863
markowitz,capm,threshold,2018,0.024500031109382137
markowitz,capm,threshold,2019,0.02194791788941217
markowitz,capm,threshold,2020,0.058657850089995245
markowitz,capm,threshold,2021,0.018138548747556018
markowitz,capm,threshold,2022,6.774109781485427e-05
markowitz,capm,threshold,2023,0.01876273412708002
markowitz,capm,threshold,2024,0.056546491298382025
mean_cvar,capm,calendar,2010,0.0024209957108131384
mean_cvar,capm,calendar,2011,0.019421722981547908
mean_cvar,capm,calendar,2012,0.024985146164999732
mean_cvar,capm,calendar,2013,0.014235001269727338
mean_cvar,capm,calendar,2014,0.02103107969529821
mean_cvar,capm,calendar,2015,0.011928162659629177
mean_cvar,capm,calendar,2016,0.008966181929045554
mean_cvar,capm,calendar,2017,0.014552056643844664
mean_cvar,capm,calendar,2018,0.008736210989988646
mean_cvar,capm,calendar,2019,0.02185628627013467
mean_cvar,capm,calendar,2020,0.02257289450160077
mean_cvar,capm,calendar,2021,0.021279818827422827
mean_cvar,capm,calendar,2022,0.0
mean_cvar,capm,calendar,2023,0.0
mean_cvar,capm,calendar,2024,0.006656878623324525
mean_cvar,capm,threshold,2010,0.0018429397009714428
mean_cvar,capm,threshold,2011,0.015566610616671065
mean_cvar,capm,threshold,2012,0.0226904511187522
mean_cvar,capm,threshold,2013,0.012625790280401991
mean_cvar,capm,threshold,2014,0.027226039216637694
mean_cvar,capm,threshold,2015,0.013894094130424885
mean_cvar,capm,threshold,2016,0.004499112603853579
mean_cvar,capm,threshold,2017,0.008270865973914358
mean_cvar,capm,threshold,2018,0.015426979454352747
