variant,model,signal,strategy,beta,alpha_jensen_ann,r_squared,information_ratio
risk_parity|none|calendar,risk_parity,none,calendar,0.4059930071061413,-0.0010425297618040022,0.5248687081862592,-0.8898736000543173
risk_parity|none|threshold,risk_parity,none,threshold,0.41357529896638956,0.0013580308284639395,0.5450655144565529,-0.8061638459239059
markowitz|historical_mean|calendar,markowitz,historical_mean,calendar,0.41240049491964187,-0.0012452705217729579,0.4184332641108904,-0.5614974833515002
markowitz|historical_mean|threshold,markowitz,historical_mean,threshold,0.411439419347666,-0.00027156130330838885,0.4197413882608023,-0.55051943238756
mean_cvar|historical_mean|calendar,mean_cvar,historical_mean,calendar,0.32671448730380664,0.006086001717162427,0.387158524394926,-0.6993264108619172
mean_cvar|historical_mean|threshold,mean_cvar,historical_mean,threshold,0.32773863124108726,0.007345140961864328,0.3882035922780206,-0.6763823869154969
markowitz|capm|calendar,markowitz,capm,calendar,0.7975626288579857,-0.032614259397161546,0.7033983729822828,-0.11226710830226344
markowitz|capm|threshold,markowitz,capm,threshold,0.7919389089072498,-0.03195205070833419,0.7006123640362271,-0.1138328883156084
mean_cvar|capm|calendar,mean_cvar,capm,calendar,0.39800563482683243,-0.008618598030605856,0.545836770083368,-0.857751078467581
mean_cvar|capm|threshold,mean_cvar,capm,threshold,0.397722795891944,-0.007283030071456434,0.54042467900221,-0.8250461541356412
markowitz|ff3f|calendar,markowitz,ff3f,calendar,0.6719635523104059,-0.033419226229534055,0.6687852090091512,-0.3836608507360372
markowitz|ff3f|threshold,markowitz,ff3f,threshold,0.6726093013764671,-0.03271225566173007,0.6708149269519305,-0.3736536443710735
mean_cvar|ff3f|calendar,mean_cvar,ff3f,calendar,0.38888777602269464,-0.007276894152640372,0.5291099270675095,-0.8703428996761171
mean_cvar|ff3f|threshold,mean_cvar,ff3f,threshold,0.3892784852501499,-0.006368043751939494,0.5286341458323985,-0.84330061259468
60_40|none|calendar,60_40,none,calendar,0.5647696225641508,0.010859467518736777,0.6791779096859452,
equal_weight|none|calendar,equal_weight,none,calendar,0.5805110545792591,-0.014867788357753934,0.7364792543364241,-0.5486747430960333
