variant,model,signal,strategy,total_return,cagr,volatility,sharpe,sortino,calmar,max_drawdown,var_5pct,cvar_5pct,skewness,excess_kurtosis,hhi
risk_parity|none|calendar,risk_parity,none,calendar,1.447422639989493,0.06300130370825419,0.08084735021951894,0.779262443817779,0.7445405838010742,0.2963511830312918,-0.2125900192596898,-0.03584172151028219,-0.04642393501497039,-0.2557713867396087,0.6194199411666164,0.1214240422908925
risk_parity|none|threshold,risk_parity,none,threshold,1.417077823249774,0.062112589131680496,0.08151418645834049,0.7619850216308595,0.7390475038610883,0.2979061056291127,-0.20849720082276346,-0.035976189793617046,-0.04667999010084161,-0.24291099193907537,0.4924846111475505,0.1214240422908925
markowitz|historical_mean|calendar,markowitz,historical_mean,calendar,1.5529110113622506,0.06593338323206765,0.09187258150238271,0.7176611580284992,0.6838143047422078,0.2928405791286633,-0.22515111610641558,-0.03938465568360233,-0.05709326114088228,-0.38123860684101635,0.5037117380338683,0.2663499088819169
markowitz|historical_mean|threshold,markowitz,historical_mean,threshold,1.5607343911687446,0.06615205713796346,0.09158925755694654,0.7222687343745827,0.6963696953712875,0.2965194034074278,-0.22309520516290893,-0.03938465568360233,-0.05644789439835201,-0.3641302661307041,0.4196310637927789,0.2663499088819169
mean_cvar|historical_mean|calendar,mean_cvar,historical_mean,calendar,1.4188899491071298,0.0619785358535796,0.07508964318039997,0.8253939322188355,0.7712120286894654,0.3256498850015389,-0.19032260936707135,-0.03219656036352305,-0.043904386052160675,-0.3731873318125188,0.27407126297237694,0.2369593690876186
mean_cvar|historical_mean|threshold,mean_cvar,historical_mean,threshold,1.446785209223179,0.06279518016554064,0.07530288600792026,0.8339013747618641,0.7903818759035905,0.3350677300018852,-0.18741040853199242,-0.03219656036352305,-0.043951806478425365,-0.3550374265165051,0.2582070630429598,0.2369593690876186
markowitz|capm|calendar,markowitz,capm,calendar,2.3716645645556444,0.08528565098033303,0.13746532940894537,0.6204157175269764,0.5829494104267198,0.36819558378804473,-0.2316313794502992,-0.06549660330036414,-0.08477660234766365,-0.4048530940300099,0.8326076729188387,0.2634680953138452
markowitz|capm|threshold,markowitz,capm,threshold,2.3165297616795284,0.0840867341425553,0.13697138892545607,0.613899988911683,0.5676627496805058,0.3649308256263657,-0.23041828269297115,-0.06404512273939117,-0.08515497644651573,-0.405364637679769,0.8498508570865635,0.2634680953138452
mean_cvar|capm|calendar,mean_cvar,capm,calendar,1.262646074671823,0.05706532050800561,0.07770524981992702,0.7343817906801398,0.6303477042983473,0.2806686951319406,-0.20331914993647426,-0.03451291965236111,-0.05008262858264402,-0.6301771638461272,0.9775857108496586,0.21719761306301258
mean_cvar|capm|threshold,mean_cvar,capm,threshold,1.2676166619437677,0.057220837006119796,0.07784459877899284,0.7350649615212792,0.6388644939858584,0.28342559686423663,-0.2018901526157113,-0.0338884581665692,-0.050153694112404515,-0.6125478050198041,0.998531227881668,0.21719761306301258
markowitz|ff3f|calendar,markowitz,ff3f,calendar,1.7111499825386538,0.06934004765176449,0.11877330283399842,0.5838016287942794,0.5777852386614621,0.3008456631770751,-0.2304837866682211,-0.050547847367759566,-0.07274050442983133,-0.10007658621939386,0.9913144376680503,0.2757372532303273
markowitz|ff3f|threshold,markowitz,ff3f,threshold,1.7152428053685669,0.06944819298996752,0.11861876683882507,0.5854739080564818,0.5835174406379248,0.29810034864496,-0.23296917734464273,-0.05098394587325231,-0.07249929966687166,-0.10438671836352655,0.9818161356193489,0.2757372532303273
mean_cvar|ff3f|calendar,mean_cvar,ff3f,calendar,1.2633804635948391,0.057111614037674174,0.07692163203800172,0.7424649285841886,0.6582370406710212,0.2884856012074415,-0.19797041446310137,-0.034150922988089465,-0.048185077523509506,-0.5496329761648104,0.8565874137523277,0.2205809454491473
mean_cvar|ff3f|threshold,mean_cvar,ff3f,threshold,1.255027286869213,0.05684961965720636,0.07695494389364219,0.7387390176747712,0.6566600713290344,0.29003214035474384,-0.196011447516377,-0.03364032990902811,-0.047908925578273226,-0.5252750334203379,0.7915027087369491,0.2205809454491473
60_40|none|calendar,60_40,none,calendar,3.0315868853285295,0.0992368954968823,0.09887009386178973,1.0037099351357481,0.917914294551043,0.3785941308233623,-0.2621194768156152,-0.04292991453537109,-0.059841874104701764,-0.4051549842089581,1.317562729227129,0.52
equal_weight|none|calendar,equal_weight,none,calendar,1.7992526792221675,0.073019044263265,0.09804427200237892,0.7447558411315787,0.7199922900609215,0.3296954333152079,-0.22147423617316098,-0.039767963607214234,-0.05557888367129335,-0.22104137751072475,0.6521728710246761,0.10000000000000002
