variant,model,signal,strategy,total_return,cagr,volatility,sharpe,sortino,calmar,max_drawdown,var_5pct,cvar_5pct,skewness,excess_kurtosis,hhi
risk_parity|none|calendar,risk_parity,none,calendar,1.198207128600779,0.055375648225252094,0.08147498685369883,0.6796644020905188,0.650894880593063,0.2602811435474053,-0.21275320782185847,-0.035860105705494465,-0.04703836444364307,-0.219312920512984,0.5487316415139918,0.1214240422908925
risk_parity|none|threshold,risk_parity,none,threshold,1.3152463052546643,0.05905219682031371,0.08144441836013434,0.7250613118654028,0.7060791910805827,0.28322776798577703,-0.2084972008227638,-0.03597618979361706,-0.04667999010084168,-0.22371780518048012,0.4822769828282949,0.1214240422908925
markowitz|historical_mean|calendar,markowitz,historical_mean,calendar,1.1920632524633215,0.05509907376982115,0.0926909137070425,0.594438781172947,0.5791096133148695,0.23592034006930207,-0.23354948434558753,-0.039528040227807565,-0.05734079489862271,-0.3307940839508298,0.3713286983892643,0.2663499088819169
markowitz|historical_mean|threshold,markowitz,historical_mean,threshold,1.2205776893849354,0.056013633053301426,0.09233069140139541,0.6066632037855062,0.5940897457390496,0.24631616125382583,-0.22740543197886254,-0.0395280402278074,-0.05668296504443978,-0.31672237956786337,0.2987490113684155,0.2663499088819169
mean_cvar|historical_mean|calendar,mean_cvar,historical_mean,calendar,1.080919745733525,0.05131778389707731,0.07634051162028581,0.6722221636701834,0.6392027378965115,0.25627676431295804,-0.20024360786141915,-0.03282087663292828,-0.04486524623537841,-0.3291850686345029,0.1283690086397269,0.2369593690876186
mean_cvar|historical_mean|threshold,mean_cvar,historical_mean,threshold,1.124554270437284,0.05278139344021904,0.07647666611470527,0.6901633677526379,0.6664067522119407,0.2740263621937819,-0.19261429089400484,-0.03288009699384386,-0.044757365672026955,-0.3107573165361483,0.11312325191194583,0.2369593690876186
markowitz|capm|calendar,markowitz,capm,calendar,1.921893200808889,0.07491857529390988,0.13825957038395864,0.5418690010814774,0.5046724831323111,0.3220820856050566,-0.2326070857159579,-0.06588806175919107,-0.08655515060826441,-0.4162755861802675,0.8560805415113113,0.2634680953138452
markowitz|capm|threshold,markowitz,capm,threshold,1.9196887081157659,0.07486418755487945,0.1375573715961411,0.5442397356549928,0.50288615977183,0.3238090928790011,-0.231198533954864,-0.06577820734299887,-0.08694987562193308,-0.4248557802910458,0.8876161206311868,0.2634680953138452
mean_cvar|capm|calendar,mean_cvar,capm,calendar,0.9474601761735082,0.04648825518280075,0.07832292772431443,0.5935459326346022,0.5141908701337786,0.21871313874207082,-0.21255355508214124,-0.0346727732618484,-0.05081227785297511,-0.5735211131321732,0.8718647639966179,0.21719761306301258
mean_cvar|capm|threshold,mean_cvar,capm,threshold,0.9845256278240337,0.0478117958206441,0.07865819634500927,0.6078425140964687,0.5282292472414803,0.23004262890114766,-0.20783885164688087,-0.034194095522032966,-0.051291144579526375,-0.5729316987635515,0.9037952920526982,0.21719761306301258
markowitz|ff3f|calendar,markowitz,ff3f,calendar,1.2978821514872685,0.057549477291162665,0.11946301578645196,0.48173467673071435,0.47517113991029764,0.24766182154726868,-0.23237121059524624,-0.05074190245868947,-0.07362003803200518,-0.08663451474571592,0.9711279592346358,0.2757372532303273
markowitz|ff3f|threshold,markowitz,ff3f,threshold,1.3255310186870983,0.05839778388889716,0.11939677502391413,0.4891068781145939,0.4855647629897215,0.24883166449978142,-0.23468791243386333,-0.050983945873252313,-0.07365194850624039,-0.10210223729745413,0.9868726422685796,0.2757372532303273
mean_cvar|ff3f|calendar,mean_cvar,ff3f,calendar,0.9491780352948624,0.04657317833080721,0.0777288824770191,0.5991746805902783,0.5399551486407156,0.22751407230715306,-0.2047046051196849,-0.03444426324100302,-0.0487749649455137,-0.489633890489589,0.7241187078130698,0.2205809454491473
mean_cvar|ff3f|threshold,mean_cvar,ff3f,threshold,0.9770908134873388,0.04757125789034,0.07784198145899601,0.6111259888136147,0.5559098630189367,0.24126488761800813,-0.19717439350585908,-0.034497460447577566,-0.0486385383330162,-0.4809120756994737,0.6616984278335014,0.2205809454491473
60_40|none|calendar,60_40,none,calendar,2.5871199803051614,0.09066253466752228,0.09963470510478162,0.9099493451822466,0.8271211804724493,0.3457146619634142,-0.2622467156950282,-0.04326564191241921,-0.06100918265477119,-0.3937108859989074,1.2350724458448328,0.52
equal_weight|none|calendar,equal_weight,none,calendar,1.526434974085018,0.06566796817187348,0.0983470465105976,0.6677167286848547,0.6453281014801762,0.2962614342515534,-0.22165547243018913,-0.03979659102499026,-0.05637533062422954,-0.2144547686611511,0.6290976679523528,0.10000000000000002
