Date,SPY,IWM,EFA,EEM,TLT,IEF,LQD,VNQ,GLD,XLP
2007-02-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2007-03-30,1.0116,1.0098,1.029,1.0533,0.983,0.9986,0.9932,0.9793,0.9889,1.0207
2007-04-30,1.0564,1.0262,1.0676,1.0926,0.9919,1.0047,1.0021,0.978,1.0092,1.0494
2007-05-31,1.0922,1.0711,1.0928,1.1479,0.9689,0.9907,0.9898,0.9743,0.9859,1.0636
2007-06-29,1.0763,1.0557,1.0893,1.1901,0.9591,0.986,0.9818,0.8866,0.9668,1.0424
2007-07-31,1.0426,0.9818,1.0643,1.1986,0.991,1.0083,0.9737,0.8133,0.9896,1.0127
2007-08-31,1.0559,1.0027,1.0576,1.2111,1.0087,1.0311,0.9969,0.8682,1.0006,1.0366
2007-09-28,1.0968,1.0217,1.1138,1.3513,1.011,1.032,1.0042,0.9022,1.1057,1.0842
2007-10-31,1.1117,1.0508,1.1612,1.5117,1.0293,1.0431,1.0139,0.9211,1.1826,1.1009
2007-11-30,1.0686,0.9784,1.1191,1.396,1.0844,1.0854,1.0242,0.8339,1.1631,1.1311
2007-12-31,1.0566,0.9721,1.0857,1.3764,1.0776,1.0859,1.016,0.7888,1.2404,1.1217
2008-01-31,0.9927,0.9086,1.0005,1.2536,1.1002,1.1224,1.0421,0.7826,1.3748,1.0594
2008-02-29,0.9671,0.882,0.9903,1.2786,1.0952,1.1363,1.0347,0.7577,1.4468,1.0567
2008-03-31,0.9584,0.8761,0.9944,1.2306,1.1186,1.1515,1.0285,0.8068,1.36,1.0909
2008-04-30,1.0041,0.916,1.0485,1.3431,1.0908,1.1236,1.0413,0.8583,1.3034,1.0827
2008-05-30,1.0193,0.9579,1.061,1.3855,1.0615,1.1036,1.0184,0.8565,1.3154,1.1156
2008-06-30,0.9341,0.8858,0.9677,1.2571,1.0896,1.1163,1.0052,0.7656,1.3748,1.052
2008-07-31,0.9257,0.9184,0.9356,1.1879,1.0856,1.1243,1.0091,0.7894,1.355,1.0775
2008-08-29,0.94,0.9512,0.8959,1.1129,1.1154,1.1415,1.0106,0.8082,1.2291,1.1067
2008-09-30,0.8515,0.8775,0.7934,0.9495,1.1318,1.1399,0.9022,0.8072,1.2796,1.0928
2008-10-31,0.7108,0.6936,0.6281,0.7066,1.1108,1.1301,0.8846,0.5511,1.0731,0.955
2008-11-28,0.6614,0.6109,0.5881,0.6377,1.2701,1.2177,0.9143,0.4259,1.208,0.953
2008-12-31,0.6678,0.6402,0.6402,0.7036,1.4435,1.2805,1.0406,0.4971,1.3014,0.9532
2009-01-30,0.613,0.5783,0.5523,0.6382,1.2548,1.2307,1.0219,0.4099,1.3735,0.8845
2009-02-27,0.5471,0.509,0.4949,0.5982,1.2356,1.2217,0.9687,0.3258,1.3934,0.813
2009-03-31,0.5927,0.5485,0.5365,0.6991,1.2856,1.2621,0.9733,0.3376,1.358,0.8476
2009-04-30,0.6516,0.6329,0.5983,0.8079,1.1962,1.2275,1.0003,0.4412,1.3127,0.8837
