,asset_class,cagr_pct,annual_volatility_pct,sharpe_ratio,max_drawdown_pct,skewness,kurtosis
EEM,Global equities,2.6511,21.2222,0.1249,-60.4254,-0.1813,1.5847
EFA,Global equities,3.1125,17.7091,0.1758,-57.3746,-0.4301,1.4348
GLD,Alternatives,7.5945,16.837,0.4511,-42.9102,0.015,0.302
IEF,Bonds,3.174,6.8242,0.4651,-23.1526,0.1951,0.6571
IWM,US equities,7.3295,20.7671,0.3529,-52.4728,-0.3901,1.123
LQD,Bonds,4.0145,8.4613,0.4745,-23.265,0.2236,5.9293
SPY,US equities,10.2581,15.6574,0.6552,-50.7848,-0.5764,0.9488
TLT,Bonds,3.0952,14.3756,0.2153,-47.6136,0.4397,1.1675
VNQ,Alternatives,4.5965,22.8405,0.2012,-67.4222,-0.5644,4.9208
XLP,US equities,9.0885,12.3879,0.7337,-28.1206,-0.4895,0.6889
