,model,signal,strategy,beta,alpha_jensen_ann,r_squared,information_ratio
RP CAL,risk_parity,none,calendar,0.4059930071061413,-0.001042529761804,0.5248687081862592,-0.8898736000543173
RP THR,risk_parity,none,threshold,0.4135752989663895,0.0013580308284639,0.5450655144565529,-0.8061638459239059
MKT HM CAL,markowitz,historical_mean,calendar,0.4124004949196418,-0.0012452705217729,0.4184332641108904,-0.5614974833515002
MKT HM THR,markowitz,historical_mean,threshold,0.411439419347666,-0.0002715613033083,0.4197413882608023,-0.55051943238756
MCVAR HM CAL,mean_cvar,historical_mean,calendar,0.3267144873038066,0.0060860017171624,0.387158524394926,-0.6993264108619172
MCVAR HM THR,mean_cvar,historical_mean,threshold,0.3277386312410872,0.0073451409618643,0.3882035922780206,-0.6763823869154969
MKT CAPM CAL,markowitz,capm,calendar,0.7975626288579857,-0.0326142593971615,0.7033983729822828,-0.1122671083022634
MKT CAPM THR,markowitz,capm,threshold,0.7919389089072498,-0.0319520507083341,0.7006123640362271,-0.1138328883156084
MCVAR CAPM CAL,mean_cvar,capm,calendar,0.3980056348268324,-0.0086185980306058,0.545836770083368,-0.857751078467581
MCVAR CAPM THR,mean_cvar,capm,threshold,0.397722795891944,-0.0072830300714564,0.54042467900221,-0.8250461541356412
MKT FF3F CAL,markowitz,ff3f,calendar,0.6719635523104059,-0.033419226229534,0.6687852090091512,-0.3836608507360372
MKT FF3F THR,markowitz,ff3f,threshold,0.6726093013764671,-0.03271225566173,0.6708149269519305,-0.3736536443710735
MCVAR FF3F CAL,mean_cvar,ff3f,calendar,0.3888877760226946,-0.0072768941526403,0.5291099270675095,-0.8703428996761171
MCVAR FF3F THR,mean_cvar,ff3f,threshold,0.3892784852501499,-0.0063680437519394,0.5286341458323985,-0.84330061259468
60/40 CAL,60_40,none,calendar,0.5647696225641508,0.0108594675187367,0.6791779096859452,
EW CAL,equal_weight,none,calendar,0.5805110545792591,-0.0148677883577539,0.7364792543364241,-0.5486747430960333
