,model,signal,strategy,gross_final_value,net_final_value,total_drag,tc_total,tax_total,tc_drag_pct,tax_drag_pct
RP CAL,risk_parity,none,calendar,2.487687406572044,2.23437182508066,0.1018277380116839,0.0111334149693274,0.1734837738272784,0.0111334149693274,0.1734837738272784
RP THR,risk_parity,none,threshold,2.456843359767582,2.35333651923691,0.0421300121227361,0.0023038788125096,0.081105190121374,0.0023038788125096,0.081105190121374
MKT HM CAL,markowitz,historical_mean,calendar,2.592030563965019,2.2256533515038583,0.1413475664811277,0.0616342810480098,0.1848531354689989,0.0616342810480098,0.1848531354689989
MKT HM THR,markowitz,historical_mean,threshold,2.5999738253954745,2.2546047296310716,0.1328356048783951,0.055513096586191,0.1745860240719731,0.055513096586191,0.1745860240719731
MCVAR HM CAL,mean_cvar,historical_mean,calendar,2.4522219469863464,2.1095945569117736,0.1397211987665489,0.0520202151310646,0.1883655767137007,0.0520202151310646,0.1883655767137007
MCVAR HM THR,mean_cvar,historical_mean,threshold,2.4805016002623126,2.153830359852859,0.1316956378399062,0.0431143693685187,0.1834348072590627,0.0431143693685187,0.1834348072590627
MKT CAPM CAL,markowitz,capm,calendar,3.3899938535074936,2.937777409851234,0.133397422885699,0.0261185099649335,0.2715782308864639,0.0261185099649335,0.2715782308864639
MKT CAPM THR,markowitz,capm,threshold,3.33455932279254,2.9355609329340604,0.1196555080400659,0.019368475936782,0.2593264309742447,0.019368475936782,0.2593264309742447
MCVAR CAPM CAL,mean_cvar,capm,calendar,2.2883312414712966,1.9695674071807276,0.1392996907587635,0.0462311441484258,0.1986424362673766,0.0462311441484258,0.1986424362673766
MCVAR CAPM THR,mean_cvar,capm,threshold,2.2933582539900352,2.007053619426027,0.124840780574029,0.0331834514645504,0.1851154737687632,0.0331834514645504,0.1851154737687632
MKT FF3F CAL,markowitz,ff3f,calendar,2.7183862062249102,2.3040153382751303,0.1524326701632388,0.0555639374471378,0.2268120284893591,0.0555639374471378,0.2268120284893591
MKT FF3F THR,markowitz,ff3f,threshold,2.722489953047113,2.331738001977927,0.1435274171101502,0.0475198857459836,0.2219031651763202,0.0475198857459836,0.2219031651763202
MCVAR FF3F CAL,mean_cvar,ff3f,calendar,2.28982658678735,1.9719529082226213,0.1388199789446539,0.0489081246283502,0.1922072868009948,0.0489081246283502,0.1922072868009948
MCVAR FF3F THR,mean_cvar,ff3f,threshold,2.281375808644601,2.0001918290069405,0.1232519335798148,0.0331887705685396,0.1805515641565916,0.0331887705685396,0.1805515641565916
60/40 CAL,60_40,none,calendar,4.101523259624462,3.649346139066613,0.1102461431851664,0.0084801569953256,0.2905305615734839,0.0084801569953256,0.2905305615734839
EW CAL,equal_weight,none,calendar,2.861283109494867,2.5824198623595693,0.097460907035001,0.0076208965900787,0.1914126235240061,0.0076208965900787,0.1914126235240061
