date,RP CAL,RP THR,MKT HM CAL,MKT HM THR,MCVAR HM CAL,MCVAR HM THR,MKT CAPM CAL,MKT CAPM THR,MCVAR CAPM CAL,MCVAR CAPM THR,MKT FF3F CAL,MKT FF3F THR,MCVAR FF3F CAL,MCVAR FF3F THR,60/40 CAL,EW CAL
2010-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,-0.002771,-0.002771,0.0,0.0,-0.012486,-0.01285,0.0,0.0,-0.005737,-0.005706,0.0,0.0,0.0,0.0
2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-31,-0.01303,-0.015139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022255,-0.022255,0.0,0.0,-0.027247,-0.036275
2010-06-30,-0.005886,-0.008875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034949,-0.045615
2010-07-30,0.0,0.0,-0.012957,-0.013755,0.0,0.0,-0.010335,-0.010258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012821,-0.012825,0.0,0.0,0.0,-0.001837
2010-09-30,0.0,0.0,0.0,0.0,0.0,0.0,-0.000562,-0.00152,0.0,0.0,-0.02304,-0.023043,0.0,0.0,0.0,0.0
2010-10-29,0.0,0.0,0.0,0.0,0.0,0.0,-0.011116,-0.012442,0.0,0.0,-0.009055,-0.009059,0.0,0.0,0.0,0.0
2010-11-30,-0.008296,-0.007961,-0.001529,-0.000696,-0.006185,-0.006313,-0.017202,-0.018222,-0.008881,-0.008986,-0.003444,-0.002933,-0.005588,-0.005992,-0.006797,-0.009773
2010-12-31,0.0,0.0,-0.009968,-0.008019,-0.01199,-0.012846,-0.043399,-0.040775,-0.013782,-0.013452,0.0,0.0,-0.010525,-0.009999,0.0,0.0
2011-01-31,-0.011507,-0.0113,-0.036084,-0.034186,-0.027455,-0.028125,-0.049895,-0.04733,-0.023019,-0.023706,0.0,-0.001551,-0.017932,-0.019706,0.0,-0.007484
2011-02-28,0.0,0.0,-0.012789,-0.010845,-0.008964,-0.010371,-0.024469,-0.021835,-0.006021,-0.006707,0.0,0.0,0.0,-0.003095,0.0,0.0
2011-03-31,0.0,0.0,-0.006942,-0.005565,-0.004863,-0.006987,-0.01486,-0.0122,-0.002975,-0.002864,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-31,0.0,0.0,0.0,0.0,0.0,0.0,-0.002848,-0.003638,0.0,0.0,-0.004993,-0.002193,0.0,0.0,0.0,0.0
2011-06-30,-0.016185,-0.016946,-0.014964,-0.014964,-0.013819,-0.014234,-0.019819,-0.020672,-0.013435,-0.013557,-0.019309,-0.016276,-0.012829,-0.013017,-0.019436,-0.01828
2011-07-29,0.0,0.0,0.0,0.0,0.0,0.0,-0.03616,-0.036983,0.0,0.0,-0.025478,-0.022535,0.0,0.0,-0.013893,-0.008567
2011-08-31,0.0,0.0,0.0,0.0,0.0,0.0,-0.099439,-0.100208,0.0,0.0,-0.078227,-0.072342,0.0,0.0,-0.008318,-0.019392
2011-09-30,-0.023011,-0.026424,-0.038607,-0.038667,-0.026061,-0.026061,-0.17112,-0.171827,-0.009475,-0.00952,-0.157174,-0.151866,-0.018123,-0.017612,0.0,-0.074564
2011-10-31,0.0,0.0,-0.018962,-0.019023,-0.009147,-0.009147,-0.078835,-0.079621,0.0,0.0,-0.058191,-0.052259,0.0,0.0,0.0,-0.006045
2011-11-30,0.0,0.0,-0.020475,-0.020536,-0.008982,-0.008982,-0.082328,-0.083112,0.0,0.0,-0.062603,-0.056699,0.0,0.0,0.0,-0.010941
2011-12-30,-0.003273,0.0,-0.052638,-0.052774,-0.039327,-0.031859,-0.092616,-0.094842,0.0,0.0,-0.103448,-0.098596,-0.00611,-0.000633,0.0,-0.017107
2012-01-31,0.0,0.0,-0.021866,-0.022007,-0.009768,-0.001966,-0.043653,-0.048909,0.0,0.0,-0.017016,-0.013683,0.0,0.0,0.0,0.0
2012-02-29,0.0,0.0,-0.022478,-0.022619,-0.010296,-0.002498,-0.009617,-0.013445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-30,-0.007597,-0.008357,-0.02382,-0.023961,-0.007151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-30,0.0,0.0,-0.006375,-0.007034,0.0,0.0,-0.009438,-0.009714,0.0,0.0,-0.009788,-0.009847,0.0,0.0,0.0,0.0
2012-05-31,0.0,-4.5e-05,0.0,0.0,0.0,0.0,-0.07463,-0.072845,-0.005892,-0.012996,-0.079945,-0.080033,-0.009279,-0.017443,0.0,-0.033815
