date,markowitz|historical_mean,markowitz|capm,markowitz|ff3f,mean_cvar|historical_mean,mean_cvar|capm,mean_cvar|ff3f,risk_parity|none
2010-02-26,0.355218,0.347518,0.36,0.267263,0.260806,0.269587,0.127937
2010-03-31,0.342351,0.337059,0.36,0.269351,0.26654,0.275038,0.128207
2010-04-30,0.330871,0.289323,0.340365,0.274356,0.269216,0.26978,0.129148
2010-05-31,0.351999,0.309047,0.341429,0.271472,0.259158,0.26888,0.128853
2010-06-30,0.345992,0.36,0.36,0.269326,0.265392,0.267513,0.130531
2010-07-30,0.33173,0.36,0.36,0.271972,0.265774,0.268769,0.130683
2010-08-31,0.314598,0.36,0.36,0.269305,0.263301,0.254354,0.130855
2010-09-30,0.317568,0.36,0.36,0.264551,0.26645,0.258499,0.13081
2010-10-29,0.313288,0.36,0.36,0.270495,0.269,0.255324,0.131245
2010-11-30,0.318032,0.36,0.36,0.280759,0.267436,0.257183,0.131104
2010-12-31,0.356288,0.352463,0.36,0.281565,0.260492,0.25944,0.130379
2011-01-31,0.311144,0.228716,0.345149,0.267081,0.259978,0.260816,0.130952
2011-02-28,0.265067,0.17198,0.36,0.267346,0.247646,0.250994,0.130615
2011-03-31,0.242608,0.174877,0.339463,0.254132,0.236437,0.262664,0.130905
2011-04-29,0.28704,0.172721,0.340094,0.244758,0.237517,0.262277,0.130897
2011-05-31,0.27675,0.173779,0.343755,0.260303,0.249155,0.249901,0.130914
2011-06-30,0.277466,0.175001,0.340872,0.266404,0.242317,0.262309,0.131145
2011-07-29,0.253186,0.184086,0.353824,0.270789,0.244037,0.250676,0.129424
2011-08-31,0.280854,0.210781,0.354828,0.256314,0.237687,0.259051,0.128973
2011-09-30,0.313174,0.183373,0.348176,0.272174,0.256499,0.25832,0.128889
2011-10-31,0.314249,0.20452,0.36,0.311663,0.275463,0.256687,0.13132
2011-11-30,0.244825,0.247829,0.341085,0.229788,0.243891,0.203132,0.128987
2011-12-30,0.227043,0.252997,0.357637,0.228989,0.248488,0.222882,0.13108
2012-01-31,0.236031,0.231775,0.350449,0.242452,0.263811,0.220748,0.135904
2012-02-29,0.161914,0.224274,0.288904,0.162235,0.181255,0.195284,0.141667
2012-03-30,0.161813,0.236313,0.194527,0.189284,0.16856,0.171836,0.140979
2012-04-30,0.168115,0.240417,0.199801,0.21919,0.177429,0.184082,0.141013
2012-05-31,0.171713,0.243325,0.237843,0.204877,0.183746,0.208495,0.139372
2012-06-29,0.189484,0.242959,0.247173,0.206822,0.191789,0.196494,0.140462
2012-07-31,0.205269,0.244185,0.229839,0.246273,0.196247,0.208031,0.140765
2012-08-31,0.199863,0.243393,0.247893,0.239493,0.187738,0.212524,0.138952
2012-09-28,0.181249,0.244129,0.233809,0.197799,0.196155,0.196909,0.138394
2012-10-31,0.173387,0.239992,0.221846,0.172048,0.190671,0.181142,0.138478
2012-11-30,0.173562,0.241309,0.158627,0.176373,0.186136,0.184333,0.140097
