,model_gross,signal_gross,strategy_gross,total_return_gross,cagr_gross,volatility_gross,sharpe_gross,sortino_gross,calmar_gross,max_drawdown_gross,var_5pct_gross,cvar_5pct_gross,skewness_gross,excess_kurtosis_gross,hhi_gross,model_net,signal_net,strategy_net,total_return_net,cagr_net,volatility_net,sharpe_net,sortino_net,calmar_net,max_drawdown_net,var_5pct_net,cvar_5pct_net,skewness_net,excess_kurtosis_net,hhi_net
RP CAL,risk_parity,none,calendar,1.447422639989493,0.0630013037082541,0.0808473502195189,0.779262443817779,0.7445405838010742,0.2963511830312918,-0.2125900192596898,-0.0358417215102821,-0.0464239350149703,-0.2557713867396087,0.6194199411666164,0.1214240422908925,risk_parity,none,calendar,1.198207128600779,0.055375648225252,0.0814749868536988,0.6796644020905188,0.650894880593063,0.2602811435474053,-0.2127532078218584,-0.0358601057054944,-0.047038364443643,-0.219312920512984,0.5487316415139918,0.1214240422908925
RP THR,risk_parity,none,threshold,1.417077823249774,0.0621125891316804,0.0815141864583404,0.7619850216308595,0.7390475038610883,0.2979061056291127,-0.2084972008227634,-0.035976189793617,-0.0466799901008416,-0.2429109919390753,0.4924846111475505,0.1214240422908925,risk_parity,none,threshold,1.3152463052546643,0.0590521968203137,0.0814444183601343,0.7250613118654028,0.7060791910805827,0.283227767985777,-0.2084972008227638,-0.035976189793617,-0.0466799901008416,-0.2237178051804801,0.4822769828282949,0.1214240422908925
MKT HM CAL,markowitz,historical_mean,calendar,1.5529110113622506,0.0659333832320676,0.0918725815023827,0.7176611580284992,0.6838143047422078,0.2928405791286633,-0.2251511161064155,-0.0393846556836023,-0.0570932611408822,-0.3812386068410163,0.5037117380338683,0.2663499088819169,markowitz,historical_mean,calendar,1.1920632524633217,0.0550990737698211,0.0926909137070425,0.594438781172947,0.5791096133148695,0.235920340069302,-0.2335494843455875,-0.0395280402278075,-0.0573407948986227,-0.3307940839508298,0.3713286983892643,0.2663499088819169
MKT HM THR,markowitz,historical_mean,threshold,1.5607343911687446,0.0661520571379634,0.0915892575569465,0.7222687343745827,0.6963696953712875,0.2965194034074278,-0.2230952051629089,-0.0393846556836023,-0.056447894398352,-0.3641302661307041,0.4196310637927789,0.2663499088819169,markowitz,historical_mean,threshold,1.2205776893849354,0.0560136330533014,0.0923306914013954,0.6066632037855062,0.5940897457390496,0.2463161612538258,-0.2274054319788625,-0.0395280402278074,-0.0566829650444397,-0.3167223795678633,0.2987490113684155,0.2663499088819169
MCVAR HM CAL,mean_cvar,historical_mean,calendar,1.4188899491071298,0.0619785358535796,0.0750896431803999,0.8253939322188355,0.7712120286894654,0.3256498850015389,-0.1903226093670713,-0.032196560363523,-0.0439043860521606,-0.3731873318125188,0.2740712629723769,0.2369593690876186,mean_cvar,historical_mean,calendar,1.080919745733525,0.0513177838970773,0.0763405116202858,0.6722221636701834,0.6392027378965115,0.256276764312958,-0.2002436078614191,-0.0328208766329282,-0.0448652462353784,-0.3291850686345029,0.1283690086397269,0.2369593690876186
MCVAR HM THR,mean_cvar,historical_mean,threshold,1.446785209223179,0.0627951801655406,0.0753028860079202,0.8339013747618641,0.7903818759035905,0.3350677300018852,-0.1874104085319924,-0.032196560363523,-0.0439518064784253,-0.3550374265165051,0.2582070630429598,0.2369593690876186,mean_cvar,historical_mean,threshold,1.124554270437284,0.052781393440219,0.0764766661147052,0.6901633677526379,0.6664067522119407,0.2740263621937819,-0.1926142908940048,-0.0328800969938438,-0.0447573656720269,-0.3107573165361483,0.1131232519119458,0.2369593690876186
MKT CAPM CAL,markowitz,capm,calendar,2.3716645645556444,0.085285650980333,0.1374653294089453,0.6204157175269764,0.5829494104267198,0.3681955837880447,-0.2316313794502992,-0.0654966033003641,-0.0847766023476636,-0.4048530940300099,0.8326076729188387,0.2634680953138452,markowitz,capm,calendar,1.921893200808889,0.0749185752939098,0.1382595703839586,0.5418690010814774,0.5046724831323111,0.3220820856050566,-0.2326070857159579,-0.065888061759191,-0.0865551506082644,-0.4162755861802675,0.8560805415113113,0.2634680953138452
MKT CAPM THR,markowitz,capm,threshold,2.3165297616795284,0.0840867341425553,0.136971388925456,0.613899988911683,0.5676627496805058,0.3649308256263657,-0.2304182826929711,-0.0640451227393911,-0.0851549764465157,-0.405364637679769,0.8498508570865635,0.2634680953138452,markowitz,capm,threshold,1.919688708115766,0.0748641875548794,0.1375573715961411,0.5442397356549928,0.50288615977183,0.3238090928790011,-0.231198533954864,-0.0657782073429988,-0.086949875621933,-0.4248557802910458,0.8876161206311868,0.2634680953138452
MCVAR CAPM CAL,mean_cvar,capm,calendar,1.262646074671823,0.0570653205080056,0.077705249819927,0.7343817906801398,0.6303477042983473,0.2806686951319406,-0.2033191499364742,-0.0345129196523611,-0.050082628582644,-0.6301771638461272,0.9775857108496586,0.2171976130630125,mean_cvar,capm,calendar,0.9474601761735082,0.0464882551828007,0.0783229277243144,0.5935459326346022,0.5141908701337786,0.2187131387420708,-0.2125535550821412,-0.0346727732618484,-0.0508122778529751,-0.5735211131321732,0.8718647639966179,0.2171976130630125
MCVAR CAPM THR,mean_cvar,capm,threshold,1.2676166619437677,0.0572208370061197,0.0778445987789928,0.7350649615212792,0.6388644939858584,0.2834255968642366,-0.2018901526157113,-0.0338884581665692,-0.0501536941124045,-0.6125478050198041,0.998531227881668,0.2171976130630125,mean_cvar,capm,threshold,0.9845256278240336,0.0478117958206441,0.0786581963450092,0.6078425140964687,0.5282292472414803,0.2300426289011476,-0.2078388516468808,-0.0341940955220329,-0.0512911445795263,-0.5729316987635515,0.9037952920526982,0.2171976130630125
