date,RP CAL,RP THR,MKT HM CAL,MKT HM THR,MCVAR HM CAL,MCVAR HM THR,MKT CAPM CAL,MKT CAPM THR,MCVAR CAPM CAL,MCVAR CAPM THR,MKT FF3F CAL,MKT FF3F THR,MCVAR FF3F CAL,MCVAR FF3F THR,60/40 CAL,EW CAL
2010-02-26,0.016452,0.016452,0.015324,0.015324,0.01378,0.01378,0.005436,0.005436,0.011352,0.011352,0.002669,0.002669,0.011684,0.011684,0.017347,0.02216
2010-03-31,0.020592,0.021187,-0.002771,-0.002771,0.002392,0.001653,-0.012486,-0.01285,0.002464,0.001906,-0.005737,-0.005706,0.003797,0.003709,0.028282,0.039851
2010-04-30,0.022669,0.022784,0.031282,0.031902,0.020606,0.021439,0.02702,0.026954,0.01673,0.017769,0.023325,0.023325,0.018083,0.01789,0.02253,0.023059
2010-05-31,-0.01303,-0.015139,0.020463,0.019181,0.009703,0.009381,0.031339,0.031339,0.003225,0.007966,-0.022255,-0.022255,0.001831,0.004645,-0.027247,-0.036275
2010-06-30,0.007238,0.006361,0.029219,0.029156,0.025025,0.025024,0.039842,0.039842,0.021728,0.022858,0.040874,0.040874,0.020894,0.020986,-0.007917,-0.009692
2010-07-30,0.028316,0.026615,-0.012957,-0.013755,0.000546,0.001404,-0.010335,-0.010258,0.013827,0.011415,0.004062,0.003939,0.015411,0.013451,0.03714,0.048449
2010-08-31,0.016421,0.015747,0.038718,0.038716,0.030668,0.03528,0.058383,0.058498,0.028119,0.030587,-0.012821,-0.012825,0.024549,0.027326,0.006539,-0.001837
2010-09-30,0.035534,0.034082,0.015221,0.017984,0.017116,0.016053,-0.000562,-0.00152,0.016135,0.013817,-0.010351,-0.010351,0.017998,0.015605,0.043587,0.056303
2010-10-29,0.011177,0.011723,0.009697,0.011917,0.008772,0.008504,-0.01056,-0.010939,0.007483,0.004788,0.014314,0.014314,0.007147,0.007097,0.004991,0.021627
2010-11-30,-0.008296,-0.007961,-0.001529,-0.000696,-0.006185,-0.006313,-0.006154,-0.005852,-0.008881,-0.008986,0.005662,0.006182,-0.005588,-0.005992,-0.006797,-0.009773
2010-12-31,0.009703,0.01465,-0.008452,-0.007328,-0.005841,-0.006574,-0.026655,-0.022972,-0.004945,-0.004506,0.022239,0.02435,-0.004964,-0.004032,0.022245,0.030723
2011-01-31,-0.011507,-0.0113,-0.026378,-0.026378,-0.015652,-0.015478,-0.006791,-0.006834,-0.009366,-0.010394,0.000112,-0.001551,-0.007487,-0.009805,0.001607,-0.007484
2011-02-28,0.022988,0.024579,0.024167,0.024167,0.019013,0.018267,0.026762,0.026762,0.017398,0.017412,0.025967,0.028253,0.018855,0.016945,0.027417,0.028631
2011-03-31,0.004626,0.005215,0.005923,0.005337,0.004138,0.00342,0.00985,0.00985,0.003065,0.003868,0.00866,0.008605,0.004283,0.004271,0.000181,0.006986
2011-04-29,0.036933,0.038384,0.049019,0.048924,0.039702,0.039703,0.033142,0.032964,0.034063,0.033996,0.024919,0.024919,0.030358,0.032142,0.026733,0.040598
2011-05-31,0.008955,0.006615,0.002928,0.002928,0.011728,0.011728,-0.002848,-0.003638,0.015684,0.014292,-0.004993,-0.002193,0.011781,0.012432,0.00696,0.001207
2011-06-30,-0.016185,-0.016946,-0.014964,-0.014964,-0.013819,-0.014234,-0.01702,-0.017096,-0.013435,-0.013557,-0.014388,-0.014114,-0.012829,-0.013017,-0.019436,-0.01828
2011-07-29,0.020033,0.019189,0.036095,0.041704,0.028274,0.029828,-0.016671,-0.016655,0.021586,0.021479,-0.00629,-0.006362,0.019167,0.019786,0.005653,0.009893
2011-08-31,0.016826,0.016596,0.056396,0.057504,0.039628,0.039598,-0.065653,-0.065653,0.023814,0.028408,-0.054128,-0.050955,0.017225,0.020463,0.005653,-0.010919
2011-09-30,-0.023011,-0.026424,-0.038607,-0.038667,-0.026061,-0.026061,-0.079596,-0.079596,-0.009475,-0.00952,-0.085648,-0.085726,-0.018123,-0.017612,0.011099,-0.056263
2011-10-31,0.041902,0.03951,0.020434,0.020434,0.017367,0.017367,0.111337,0.111337,0.024228,0.024228,0.117442,0.117442,0.029539,0.027015,0.050071,0.074041
2011-11-30,0.00023,0.001159,-0.001542,-0.001542,0.000167,0.000167,-0.003792,-0.003792,0.001377,0.001377,-0.004685,-0.004685,0.002985,0.002935,0.00545,-0.004926
2011-12-30,-0.003273,0.002194,-0.032835,-0.032915,-0.030621,-0.023084,-0.011211,-0.012794,0.000245,0.00253,-0.043572,-0.044415,-0.00611,-0.000633,0.013751,-0.006234
2012-01-31,0.033999,0.034554,0.032481,0.032481,0.030769,0.030876,0.05396,0.050746,0.027415,0.027458,0.096404,0.0942,0.0367,0.036665,0.026494,0.047043
2012-02-29,0.003294,0.00326,-0.000625,-0.000625,-0.000533,-0.000533,0.035589,0.037287,0.011315,0.011315,0.034237,0.03425,0.01144,0.01144,0.015631,0.014547
2012-03-30,-0.007597,-0.008357,-0.001373,-0.001373,0.003177,0.003177,0.021102,0.022055,0.004892,0.004892,0.010687,0.010687,0.005618,0.005618,0.002321,0.002714
2012-04-30,0.015907,0.014855,0.017871,0.017342,0.020776,0.020776,-0.009438,-0.009714,0.008118,0.006738,-0.009788,-0.009847,0.007045,0.005562,0.015295,0.005342
2012-05-31,0.001037,-4.5e-05,0.009418,0.008524,0.006675,0.006675,-0.065813,-0.06375,-0.005892,-0.012996,-0.07085,-0.070883,-0.009279,-0.017443,4.2e-05,-0.033815
2012-06-29,0.015953,0.014291,0.014278,0.014237,0.01566,0.01566,0.048804,0.048697,0.016351,0.016329,0.046301,0.046301,0.016943,0.016887,0.017562,0.031426
2012-07-31,0.020183,0.020149,0.023419,0.023419,0.025125,0.025125,0.003836,0.003707,0.016152,0.016714,0.007867,0.007867,0.016199,0.01657,0.022339,0.013709
2012-08-31,0.004871,0.005088,-0.002249,-0.002103,-0.003459,-0.003622,0.023606,0.023336,0.005317,0.006509,0.01212,0.01212,0.004775,0.00476,0.009744,0.012595
2012-09-28,0.006759,0.006357,0.000557,-0.001877,-0.001675,-0.001715,0.025804,0.025904,0.008688,0.009236,0.032063,0.032063,0.010512,0.010512,0.005061,0.016493
2012-10-31,-0.005417,-0.005982,-0.007712,-0.007877,-0.00807,-0.00807,-0.012609,-0.012592,-0.00607,-0.006087,-0.005334,-0.005334,-0.005204,-0.00586,-0.012879,-0.007964
2012-11-30,0.007682,0.007507,0.007173,0.007173,0.007079,0.007079,0.010332,0.010983,0.006595,0.006763,0.012234,0.012234,0.007529,0.007574,0.008026,0.007963
2012-12-31,-0.011988,-0.00773,-0.023053,-0.024172,-0.025158,-0.028529,0.021903,0.023022,-0.020628,-0.019016,0.002973,0.002767,-0.0222,-0.023845,-0.010923,0.005976
2013-01-31,0.003662,0.003935,0.006578,0.006609,0.007841,0.007814,0.050817,0.049318,0.010573,0.014142,0.029551,0.029551,0.010829,0.010827,0.017956,0.017865
2013-02-28,0.006812,0.006021,0.013104,0.012958,0.013237,0.013237,0.010111,0.008165,0.012776,0.013935,0.00782,0.00782,0.011892,0.01174,0.01257,0.001563
2013-03-29,0.0116,0.012267,0.017278,0.016329,0.017879,0.018492,0.036823,0.034974,0.018334,0.01993,0.025117,0.026736,0.017589,0.017465,0.021105,0.017292
2013-04-30,0.021854,0.020998,0.023849,0.022262,0.025047,0.026878,0.020847,0.020872,0.020781,0.020703,0.020009,0.01986,0.022043,0.018823,0.030247,0.018286
2013-05-31,-0.034027,-0.033548,-0.027416,-0.026275,-0.031482,-0.030294,0.008213,0.006558,-0.017607,-0.016832,-0.026323,-0.026323,-0.025996,-0.026094,-0.012891,-0.029012
2013-06-28,-0.029772,-0.029746,-0.019915,-0.020056,-0.019568,-0.019643,-0.013331,-0.01338,-0.020191,-0.020145,-0.020538,-0.020538,-0.023865,-0.023865,-0.021135,-0.03261
2013-07-31,0.018957,0.018137,0.023729,0.023729,0.023187,0.023187,0.055512,0.056144,0.030251,0.027373,0.037117,0.037117,0.026275,0.026275,0.021964,0.030292
2013-08-30,-0.019818,-0.018847,-0.027492,-0.027737,-0.028507,-0.028507,-0.031906,-0.032417,-0.024807,-0.024763,-0.030046,-0.029379,-0.024273,-0.023276,-0.023391,-0.020763
2013-09-30,0.022038,0.020794,0.02356,0.021991,0.023924,0.022032,0.049459,0.048822,0.029088,0.029088,0.032723,0.032667,0.025956,0.025914,0.021586,0.027974
2013-10-31,0.025501,0.024665,0.033951,0.034693,0.032034,0.032052,0.03869,0.038073,0.027515,0.027515,0.040175,0.040535,0.030043,0.029872,0.033494,0.029054
2013-11-29,-0.005837,-0.005318,0.007892,0.007588,0.007778,0.007778,0.022209,0.024753,0.012079,0.012152,0.009813,0.01098,0.008962,0.010088,0.006955,-0.005731
2013-12-31,-0.011339,-0.003543,-0.001818,0.000756,-0.00147,-0.000981,0.013047,0.018684,-0.003409,-0.002925,0.008683,0.008788,-0.002649,-0.002184,0.00112,-0.00766
2014-01-31,0.005415,0.005562,-0.005118,-0.007112,-0.004488,-0.006956,-0.036057,-0.034916,-0.010468,-0.010522,-0.027428,-0.028465,-0.013216,-0.01314,0.004041,-0.006375
2014-02-28,0.026581,0.025852,0.025877,0.025773,0.026013,0.025987,0.046895,0.047684,0.027699,0.027699,0.042832,0.042795,0.02861,0.028666,0.029357,0.036056
2014-03-31,0.003064,0.002435,0.00613,0.006079,0.005774,0.005874,0.004646,0.002611,0.002337,0.001942,0.004721,0.005967,0.002753,0.002704,0.007887,0.003169
2014-04-30,0.0112,0.011025,0.010465,0.0082,0.009079,0.007887,-0.003586,-0.005009,0.003768,0.004065,0.016755,0.016798,0.012157,0.012149,0.012552,0.010083
2014-05-30,0.017376,0.017597,0.02148,0.021369,0.021042,0.020998,0.016708,0.016341,0.017579,0.01754,0.018844,0.018136,0.019306,0.018352,0.025715,0.015087
2014-06-30,0.010594,0.010006,0.008319,0.007715,0.009183,0.00841,0.026567,0.027595,0.013297,0.012786,0.006829,0.00855,0.006283,0.007369,0.011379,0.017387
2014-07-31,-0.011821,-0.012074,-0.015686,-0.014085,-0.016255,-0.016252,-0.03158,-0.033246,-0.021862,-0.021922,-0.019544,-0.020584,-0.016529,-0.015163,-0.005417,-0.015399
2014-08-29,0.03018,0.030656,0.042326,0.042271,0.041454,0.041454,0.037413,0.037266,0.032734,0.033987,0.033496,0.033375,0.029978,0.03088,0.042563,0.028412
2014-09-30,-0.026878,-0.025462,-0.018084,-0.016239,-0.018028,-0.018028,-0.035044,-0.035345,-0.025752,-0.02575,-0.021219,-0.021219,-0.017737,-0.017968,-0.016731,-0.035442
2014-10-31,0.023478,0.024789,0.029086,0.029089,0.031555,0.031555,0.036407,0.037492,0.038028,0.038028,0.024796,0.024796,0.025156,0.025156,0.025401,0.026096
2014-11-28,0.017135,0.018619,0.030892,0.031663,0.031639,0.031016,0.017862,0.016505,0.017205,0.017205,0.024566,0.024566,0.024846,0.024846,0.028351,0.013579
2014-12-31,-0.0055,-0.001591,-0.008288,-0.006714,-0.005693,-0.003397,-0.010035,-0.004175,-0.009734,-0.013484,-0.025677,-0.022396,-0.020478,-0.025073,0.008775,-0.005213
2015-01-30,0.030538,0.031171,0.007218,0.007669,0.004217,0.004217,-0.018639,-0.018823,-0.022831,-0.022831,-0.016732,-0.015039,-0.015976,-0.015219,0.021469,0.026121
2015-02-27,0.002515,-0.002203,0.01639,0.016331,0.018652,0.022841,0.054878,0.054761,0.047418,0.047418,0.052428,0.051646,0.048157,0.053561,0.009109,0.006807
2015-03-31,-0.001919,-0.001609,-0.005289,-0.00549,-0.005294,-0.004939,-0.005928,-0.006025,-0.005279,-0.005112,-0.014022,-0.014671,-0.013218,-0.014576,-0.00511,-0.002992
2015-04-30,-0.005953,-0.007326,-0.012569,-0.01261,-0.012759,-0.012753,0.001406,0.00094,-0.002927,-0.002912,0.005895,0.005832,-0.001145,-0.001287,-0.007813,-0.003116
2015-05-29,-0.003602,-0.003948,0.00237,0.001435,0.002331,0.002331,0.011354,0.011688,0.009024,0.009054,0.007492,0.00972,0.00672,0.00672,-0.001797,-0.0032
2015-06-30,-0.02212,-0.022577,-0.02023,-0.02031,-0.019459,-0.019459,-0.012963,-0.013052,-0.010791,-0.010897,-0.01837,-0.017636,-0.016611,-0.016611,-0.028492,-0.022916
2015-07-31,0.010907,0.014164,0.020613,0.020613,0.019105,0.019105,0.016892,0.01507,0.011609,0.011609,0.021695,0.022949,0.016237,0.016237,0.031727,0.008604
2015-08-31,-0.0346,-0.031787,-0.053591,-0.053591,-0.050295,-0.050295,-0.063892,-0.063887,-0.063899,-0.063899,-0.063359,-0.063871,-0.063709,-0.063709,-0.039338,-0.038684
2015-09-30,-0.006696,-0.003019,-0.015875,-0.015875,-0.010438,-0.010438,-0.028809,-0.029879,-0.019133,-0.019133,-0.025836,-0.024761,-0.016877,-0.016877,-0.007469,-0.008691
2015-10-30,0.033741,0.033624,0.053983,0.053983,0.037207,0.037207,0.068188,0.068103,0.041129,0.041129,0.069766,0.069815,0.043075,0.043075,0.049378,0.04036
2015-11-30,-0.008707,-0.008755,0.001226,0.000778,0.001054,0.001054,0.006834,0.007539,0.004357,0.002731,0.000905,0.001967,0.001339,0.001339,-0.001318,-0.009428
2015-12-31,-0.018272,-0.015921,-0.015777,-0.016927,-0.020524,-0.022421,-0.027513,-0.023729,-0.023939,-0.02527,-0.017551,-0.01242,-0.017868,-0.017325,-0.021506,-0.018102
2016-01-29,-0.004489,-0.006668,-0.010808,-0.010808,-0.006695,-0.006695,-0.051882,-0.050242,-0.023485,-0.023485,-0.037047,-0.03705,-0.015692,-0.015743,-0.007587,-0.012585
2016-02-29,0.014704,0.014708,0.008548,0.008548,0.009566,0.009566,-0.005648,-0.005721,0.010997,0.010997,-0.008797,-0.008797,0.008281,0.008281,0.011796,0.012004
2016-03-31,0.042676,0.041842,0.037335,0.03809,0.031542,0.031793,0.071007,0.070941,0.040044,0.039819,0.061297,0.060639,0.038426,0.038426,0.039971,0.052075
2016-04-29,0.007298,0.007155,-0.005114,-0.005218,-0.00239,-0.002352,0.007636,0.007747,0.006603,0.006513,0.002411,0.002425,0.004195,0.004195,-0.000613,0.006649
2016-05-31,-0.00284,-0.003482,0.01008,0.010003,0.005429,0.006087,0.011829,0.012274,0.005595,0.003885,0.008721,0.008712,0.004378,0.003008,0.013423,-0.00286
2016-06-30,0.038095,0.036908,0.040866,0.040966,0.034268,0.034234,0.008008,0.007027,0.024087,0.022425,0.015995,0.013294,0.024482,0.024446,0.029818,0.036823
