date,RP CAL,RP THR,MKT HM CAL,MKT HM THR,MCVAR HM CAL,MCVAR HM THR,MKT CAPM CAL,MKT CAPM THR,MCVAR CAPM CAL,MCVAR CAPM THR,MKT FF3F CAL,MKT FF3F THR,MCVAR FF3F CAL,MCVAR FF3F THR,60/40 CAL,EW CAL
2010-02-26,1.016452,1.016452,1.015324,1.015324,1.01378,1.01378,1.005436,1.005436,1.011352,1.011352,1.002669,1.002669,1.011684,1.011684,1.017347,1.02216
2010-03-31,1.037383,1.037988,1.01251,1.01251,1.016205,1.015456,0.992882,0.992516,1.013844,1.013279,0.996917,0.996948,1.015525,1.015437,1.046119,1.062894
2010-04-30,1.0609,1.061637,1.044183,1.044811,1.037145,1.037226,1.019709,1.019268,1.030806,1.031284,1.02017,1.020202,1.033889,1.033603,1.069689,1.087403
2010-05-31,1.047077,1.045565,1.065551,1.064851,1.047208,1.046957,1.051666,1.051211,1.034131,1.0395,0.997466,0.997497,1.035783,1.038404,1.040543,1.047957
2010-06-30,1.054656,1.052216,1.096684,1.095898,1.073414,1.073156,1.093567,1.093094,1.0566,1.063261,1.038236,1.038269,1.057424,1.060195,1.032304,1.037801
2010-07-30,1.084519,1.08022,1.082475,1.080823,1.074,1.074663,1.082265,1.081881,1.07121,1.075397,1.042453,1.042358,1.07372,1.074456,1.070644,1.088081
2010-08-31,1.102328,1.097231,1.124387,1.122669,1.106938,1.112577,1.14545,1.145169,1.101331,1.108291,1.029087,1.02899,1.100078,1.103817,1.077645,1.086083
2010-09-30,1.141498,1.134627,1.141501,1.142859,1.125884,1.130437,1.144807,1.143428,1.119101,1.123604,1.018435,1.018339,1.119878,1.121042,1.124617,1.147232
2010-10-29,1.154256,1.147928,1.152571,1.156478,1.135761,1.14005,1.132717,1.13092,1.127474,1.128984,1.033013,1.032916,1.127882,1.128998,1.13023,1.172043
2010-11-30,1.144681,1.13879,1.150808,1.155674,1.128736,1.132853,1.125746,1.124302,1.117461,1.118839,1.038862,1.039301,1.121579,1.122233,1.122548,1.160589
2010-12-31,1.155788,1.155473,1.141081,1.147205,1.122143,1.125405,1.09574,1.098475,1.111935,1.113797,1.061966,1.064608,1.116011,1.117708,1.147519,1.196246
2011-01-31,1.142487,1.142415,1.110981,1.116943,1.104579,1.107987,1.088298,1.090968,1.101521,1.10222,1.062085,1.062957,1.107656,1.10675,1.149363,1.187292
2011-02-28,1.168751,1.170494,1.137831,1.143937,1.12558,1.128226,1.117423,1.120164,1.120686,1.121412,1.089664,1.092989,1.128542,1.125504,1.180875,1.221286
2011-03-31,1.174157,1.176599,1.14457,1.150042,1.130238,1.132085,1.12843,1.131198,1.12412,1.12575,1.099101,1.102393,1.133375,1.130311,1.181088,1.229819
2011-04-29,1.217523,1.221761,1.200675,1.206307,1.175111,1.177032,1.165828,1.168486,1.162411,1.164021,1.126489,1.129864,1.167782,1.166641,1.212662,1.279746
2011-05-31,1.228425,1.229843,1.204191,1.209839,1.188892,1.190836,1.162508,1.164235,1.180643,1.180657,1.120865,1.127386,1.181539,1.181145,1.221103,1.281291
2011-06-30,1.208544,1.209002,1.186171,1.191735,1.172462,1.173886,1.142723,1.144332,1.16478,1.164652,1.104738,1.111474,1.166381,1.16577,1.19737,1.25787
2011-07-29,1.232755,1.232202,1.228986,1.241434,1.205613,1.208901,1.123672,1.125273,1.189923,1.189668,1.097789,1.104402,1.188738,1.188836,1.204138,1.270314
2011-08-31,1.253496,1.252652,1.298296,1.312822,1.25339,1.256771,1.0499,1.051395,1.21826,1.223464,1.038368,1.048128,1.209214,1.213163,1.210945,1.256444
2011-09-30,1.224652,1.219552,1.248172,1.262059,1.220725,1.224018,0.966332,0.967708,1.206717,1.211817,0.949434,0.958276,1.187299,1.191796,1.224386,1.185753
2011-10-31,1.275968,1.267737,1.273677,1.287849,1.241925,1.245276,1.07392,1.07545,1.235952,1.241176,1.060938,1.070818,1.222371,1.223992,1.285692,1.273546
2011-11-30,1.276262,1.269206,1.271713,1.285862,1.242132,1.245484,1.069848,1.071372,1.237654,1.242885,1.055968,1.065801,1.226019,1.227584,1.2927,1.267272
2011-12-30,1.272084,1.271992,1.229956,1.243539,1.204097,1.216732,1.057854,1.057665,1.237957,1.246029,1.009957,1.018464,1.218528,1.226806,1.310476,1.259373
2012-01-31,1.315334,1.315944,1.269907,1.283931,1.241147,1.2543,1.114936,1.111337,1.271896,1.280243,1.107321,1.114403,1.263248,1.271787,1.345195,1.318618
2012-02-29,1.319666,1.320234,1.269113,1.283128,1.240485,1.253632,1.154616,1.152776,1.286287,1.294728,1.145232,1.152571,1.2777,1.286337,1.366222,1.3378
2012-03-30,1.309641,1.309202,1.26737,1.281366,1.244426,1.257615,1.178981,1.1782,1.29258,1.301063,1.157471,1.164889,1.284879,1.293564,1.369394,1.34143
2012-04-30,1.330473,1.328649,1.29002,1.303588,1.270281,1.283743,1.167854,1.166755,1.303074,1.309829,1.146142,1.153418,1.293931,1.300758,1.390339,1.348596
2012-05-31,1.331853,1.32859,1.30217,1.314699,1.27876,1.292313,1.090994,1.092375,1.295395,1.292807,1.064938,1.07166,1.281925,1.278069,1.390398,1.302994
2012-06-29,1.3531,1.347576,1.320763,1.333417,1.298786,1.312551,1.144238,1.14557,1.316576,1.313917,1.114245,1.121278,1.303644,1.299652,1.414816,1.343942
2012-07-31,1.380409,1.374729,1.351694,1.364645,1.331418,1.345528,1.148627,1.149816,1.337842,1.335877,1.123011,1.130099,1.324762,1.321187,1.446422,1.362365
2012-08-31,1.387133,1.381723,1.348654,1.361775,1.326812,1.340655,1.175741,1.176648,1.344955,1.344572,1.136621,1.143796,1.331088,1.327476,1.460515,1.379524
